Name,School,Casting Time,Comps,Cost,Save,Ritual,Conc.,Source
Animate Dead,Necromancy,1 minute,"V, S, M",,,,,PHB 212
Ashardalon's Stride,Transmutation,1 bonus action,"V, S",,,,Yes,FTD 19
Aura of Vitality,Evocation,1 action,V,,,,Yes,PHB 216
Beacon of Hope,Abjuration,1 action,"V, S",,,,Yes,PHB 217
Bestow Curse,Necromancy,1 action,"V, S",,Wisdom,,Yes,PHB 218
Blinding Smite,Evocation,1 bonus action,V,,,,Yes,PHB 219
Blink,Transmutation,1 action,"V, S",,,,,PHB 219
Call Lightning,Conjuration,1 action,"V, S",,Dexterity,,Yes,PHB 220
Catnap,Enchantment,1 action,"S, M",,,,,XGE 151
Clairvoyance,Divination,10 minutes,"V, S, M",100gp,,,Yes,PHB 222
Conjure Animals,Conjuration,1 action,"V, S",,,,Yes,PHB 225
Conjure Barrage,Conjuration,1 action,"V, S, M",,Dexterity,,,PHB 225
Counterspell,Abjuration,1 reaction,S,,DC,,,PHB 228
Create Food and Water,Conjuration,1 action,"V, S",,,,,PHB 229
Crusader's Mantle,Evocation,1 action,V,,,,Yes,PHB 230
Daylight,Evocation,1 action,"V, S",,,,,PHB 230
Dispel Magic,Abjuration,1 action,"V, S",,DC,,,PHB 234
Elemental Weapon,Transmutation,1 action,"V, S",,,,Yes,PHB 237
Enemies Abound,Enchantment,1 action,"V, S",,Intelligence,,Yes,XGE 155
Erupting Earth,Transmutation,1 action,"V, S, M",,Dexterity,,,"XGE 155, EEPC 17"
Fast Friends,Enchantment,1 action,V,,Wisdom,,Yes,AI 75
Fear,Illusion,1 action,"V, S, M",,Wisdom,,Yes,PHB 239
Feign Death,Necromancy,1 action,"V, S, M",,,Yes,,PHB 240
Fireball,Evocation,1 action,"V, S, M",,Dexterity,,,PHB 241
Flame Arrows,Transmutation,1 action,"V, S",,Attack roll,,Yes,"XGE 156, EEPC 18"
Fly,Transmutation,1 action,"V, S, M",,,,Yes,PHB 243
Galder's Tower,Conjuration,10 minutes,"V, S, M",,,,,LLK 57
Gaseous Form,Transmutation,1 action,"V, S, M",,,,Yes,PHB 244
Glyph of Warding,Abjuration,1 hour,"V, S, M",200gp,,,,PHB 245
Haste,Transmutation,1 action,"V, S, M",,,,Yes,PHB 250
Hunger of Hadar,Conjuration,1 action,"V, S, M",,Dexterity,,Yes,PHB 251
Hypnotic Pattern,Illusion,1 action,"S, M",,Wisdom,,Yes,PHB 252
Incite Greed,Enchantment,1 action,"V, S, M",50gp,Wisdom,,Yes,AI 76
Intellect Fortress,Abjuration,1 action,V,,,,Yes,TCE 107
Leomund's Tiny Hut,Evocation,1 minute,"V, S, M",,,Yes,,PHB 255
Life Transference,Necromancy,1 action,"V, S",,,,,XGE 160
Lightning Arrow,Transmutation,1 bonus action,"V, S",,Dexterity,,Yes,PHB 255
Lightning Bolt,Evocation,1 action,"V, S, M",,Dexterity,,,PHB 255
Magic Circle,Abjuration,1 minute,"V, S, M",100gp,Charisma,,,PHB 256
