Name,School,Casting Time,Comps,Cost,Save,Ritual,Conc.,Source
Arcane Eye,Divination,1 action,"V, S, M",,,,Yes,PHB 214
Aura of Life,Abjuration,1 action,V,,,,Yes,PHB 216
Aura of Purity,Abjuration,1 action,V,,,,Yes,PHB 216
Banishment,Abjuration,1 action,"V, S, M",,Charisma,,Yes,PHB 217
Blight,Necromancy,1 action,"V, S",,Constitution,,,PHB 219
Charm Monster,Enchantment,1 action,"V, S",,Wisdom,,,XGE 151
Compulsion,Enchantment,1 action,"V, S",,Wisdom,,Yes,PHB 224
Confusion,Enchantment,1 action,"V, S, M",,Wisdom,,Yes,PHB 224
Conjure Minor Elementals,Conjuration,1 minute,"V, S",,,,Yes,PHB 226
Conjure Woodland Beings,Conjuration,1 action,"V, S, M",,,,Yes,PHB 226
Control Water,Transmutation,1 action,"V, S, M",,,,Yes,PHB 227
Death Ward,Abjuration,1 action,"V, S",,,,,PHB 230
Dimension Door,Conjuration,1 action,V,,,,,PHB 233
Divination,Divination,1 action,"V, S, M",25gp,,Yes,,PHB 234
Dominate Beast,Enchantment,1 action,"V, S",,Wisdom,,Yes,PHB 234
Elemental Bane,Transmutation,1 action,"V, S",,Constitution,,Yes,"XGE 155, EEPC 17"
Evard's Black Tentacles,Conjuration,1 action,"V, S, M",,Dexterity,,Yes,PHB 238
Fabricate,Transmutation,10 minutes,"V, S",,,,,PHB 239
Find Greater Steed,Conjuration,10 minutes,"V, S",,,,,XGE 156
Fire Shield,Evocation,1 action,"V, S, M",,,,,PHB 242
Freedom of Movement,Abjuration,1 action,"V, S, M",,,,,PHB 244
Galder's Speedy Courier,Conjuration,1 action,"V, S, M",25gp,,,,LLK 57
Giant Insect,Transmutation,1 action,"V, S",,,,Yes,PHB 245
Grasping Vine,Conjuration,1 bonus action,"V, S",,Dexterity,,Yes,PHB 246
Gravity Sinkhole,Evocation,1 action,"V, S, M",,Constitution,,,EGW 187
Greater Invisibility,Illusion,1 action,"V, S",,,,Yes,PHB 246
Guardian of Faith,Conjuration,1 action,V,,Dexterity,,,PHB 246
Guardian of Nature,Transmutation,1 bonus action,V,,,,Yes,XGE 157
Hallucinatory Terrain,Illusion,10 minutes,"V, S, M",,,,,PHB 249
Ice Storm,Evocation,1 action,"V, S, M",,Dexterity,,,PHB 252
Leomund's Secret Chest,Conjuration,1 action,"V, S, M",5050gp,,,,PHB 254
Locate Creature,Divination,1 action,"V, S, M",,,,Yes,PHB 256
Mordenkainen's Faithful Hound,Conjuration,1 action,"V, S, M",,,,,PHB 261
Mordenkainen's Private Sanctum,Abjuration,10 minutes,"V, S, M",,,,,PHB 262
Otiluke's Resilient Sphere,Evocation,1 action,"V, S, M",,Dexterity,,Yes,PHB 264
Phantasmal Killer,Illusion,1 action,"V, S",,Wisdom,,Yes,PHB 265
Polymorph,Transmutation,1 action,"V, S, M",,Wisdom,,Yes,PHB 266
Raulothim's Psychic Lance,Enchantment,1 action,V,,Intelligence,,,FTD 21
Shadow of Moil,Necromancy,1 action,"V, S, M",150gp,,,Yes,XGE 164
Sickening Radiance,Evocation,1 action,"V, S",,Constitution,,Yes,XGE 164
Staggering Smite,Evocation,1 bonus action,V,,"Attack roll, Wisdom",,Yes,PHB 278
Stone Shape,Transmutation,1 action,"V, S, M",,,,,PHB 278
Stoneskin,Abjuration,1 action,"V, S, M",100gp,,,Yes,PHB 278
Storm Sphere,Evocation,1 action,"V, S",,"Attack roll, Strength",,Yes,"XGE 166, EEPC 22"
Summon Aberration,Conjuration,1 action,"V, S, M",400gp,,,Yes,TCE 109
Summon Construct,Conjuration,1 action,"V, S, M",400gp,,,Yes,TCE 111
Summon Elemental,Conjuration,1 action,"V, S, M",400gp,,,Yes,TCE 111
Summon Greater Demon,Conjuration,1 action,"V, S, M",,,,Yes,XGE 166
Vitriolic Sphere,Evocation,1 action,"V, S, M",,Dexterity,,,"XGE 170, EEPC 23"
Wall of Fire,Evocation,1 action,"V, S, M",,Dexterity,,Yes,PHB 285
Watery Sphere,Conjuration,1 action,"V, S, M",,Strength,,Yes,"XGE 170, EEPC 23"
