index,utterance,IC_OOC
1642,"That means the damage dice you double. Roll for damage, double that, and add your modifier after that.",OOC
1648,"You guys hear this cacophonous, large blasting sound, a flash of blue energy and sparks shoot out the back of the weapon. It actually lifts Percy off the ground for a second and he shifts himself from the sheer blast. This streaking, heated bullet, reddish, white hot, goes cascading through the air, plunges into the side of the ogre's shoulder with a smattering of blood splattering against the cave behind it. It's actually moved back a step and has to catch itself. Slams its club into the ground. That ends your turn?",IC
1654,"This is the entanglement, by the way.",OOC
1657,Everything there is fighting from the entanglement. Most of these goblins are currently inside of it.,IC
1659,Both of them?,OOC
1661,You moved up to here? All righty.,OOC
1665,These guys here are entangled. These front goblins are not. Scorching Ray you said at which ones?,OOC
1669,"Okay. As you rush up, you pull back your hand and you see the arcane red energy begin to flow in your palm. You then throw the beam out, and it arcs, slams into the center, and explodes hitting each of these five goblins and the two ogres. What's your DC on your spell?",IC
1671,Top of your spell page on the right.,OOC
1673,"17, okay. Wow! The two ogres actually make their saving throws.",OOC
1676,They got 18 and a 19.,OOC
1678,"The goblins, however, all disintegrate.",IC
1680,"There's no way they're going to survive the damage you-- they (poofing). You see this hint of a red ash mist go, (squeaking) where they once were, and they are all turned to black nothingness. However, roll damage for the ogres. They get half damage because they made their reflex save. So 8d6 damage.",OOC
1684,"27, so half that. As the blast of fire dissipates, you can see one of the ogres is now burnt on half of its chest. Looking a little rough. There's blood streaking down from the side of his face where the shrapnel got thrown at him. The other ogre's looking okay.",IC
1688,Okay. Which one? The one left here?,OOC
1691,He does fail his saving throw. You lift him up in the air and throw him into that. That ogre is knocked prone by the impact.,IC
1693,"The other one is also knocked prone. Before (splatting) into the wall, both of them slam to the ground.",IC
1696,Go ahead and roll 2d6 impact damage for the force of the throw.,OOC
1698,Ten damage to each of them?,OOC
1707,All right. That would put you right there.,OOC
1709,"Okay. You pull out your arrow and as you pull it back, a little bit of energy courses through your fingers, strikes through your arrow. You can now see this crackling energy as you're pulling it taut in your bow. You let it loose, roll for attack.",IC
1711,21 hits.,OOC
1715,"17. Okay. The ogre that's been beaten, blasted by the fireball, it's getting up-- (grunt). It grabs its club, and it begins to get up on one leg as the Lightning Arrow slams into its chest. You can see it hits. Looks down for a second, and then the charge pulses through its entire torso. As it does, it screams out, ""Ugh!"" into the cavern, its whole muscle system locks tight and it falls forward again, onto its chest, smoke rising off of its whole upper area, unmoving, on the ground. He is gone.",IC
1720,Go ahead a roll damage for other ogre.,OOC
1722,"Ten damage. Nice. As he falls to the ground, the arc arcs over to the other one who drops his club for a second. Picks it up angrily.",IC
1724,You can.,OOC
1726,"Yes, all right. That brings us to--",OOC
1728,It doesn't matter. You killed him.,OOC
1730,You just ultra killed him! (valley girl voice) He is so dead. Oh my god. This ogre is done. (normal voice) All right. The other ogre's angry. It's now the goblins' turn. These goblins rush up. They are dashing forward.,IC
1741,"You're dealing with the fact that you just fired your gun for the first time and it burned your hands a little. You're like ""Ugh!""",IC
1744,"Grog is familiar with one thing, fear in the eyes of his enemies. Looking at these goblins, they're not charging to attack. The attacks seem to be instinctual. They are running.",IC
1746,They are scared.,IC
1748,They are fleeing from something.,IC
1754,"Grog, it's your turn.",OOC
1756,Right over here?,OOC
1758,All right. Go ahead and roll for attack on the first one.,OOC
1760,That definitively hits. Go ahead and roll damage.,OOC
1764,"13? Okay. As you rush up, you bring your axe into the first goblin to your right (whoosh) clean. You don't even feel resistance. You hear this little (wheeze) sound as this being is bisected.",IC
1766,"Its head and upper torso rolling off to the side before rolling to a stop. However, the inertia of your axe still keeps through to the one on the other side of you. Go ahead and roll for your second attack on that.",IC
